Date,Open,High,Low,Volume
2017-12-12,228.0,420.0,210.15,4785650.1101674
2017-12-11,146.16,235.0,145.9,2698847.0821281
2017-12-10,158.6,160.95,135.45,1388422.6848335
2017-12-09,128.75,199.0,127.25,4039818.4001965
2017-12-08,98.14,144.75,95.8,2674420.0408496
2017-12-07,98.44,102.48,95.01,1055892.6096338
2017-12-06,101.86,103.9,98.01,781130.25518256
2017-12-05,102.87,104.5,101.05,516933.51548191
2017-12-04,101.28,103.5,95.36,599667.96772463
2017-12-03,100.3,107.49,97.0,861976.5166007
2017-12-02,98.02,104.75,96.91,914967.47302409
2017-12-01,87.54,100.77,82.0,1391980.3604239
2017-11-30,89.0,93.5,78.0,1070208.1420269
2017-11-29,93.87,103.54,76.01,1732462.9905014
2017-11-28,90.51,94.88,89.96,593584.87383978
2017-11-27,86.9,93.89,86.4,931440.3223996
2017-11-26,87.88,89.86,84.11,811692.65021828
2017-11-25,76.2,89.88,76.2,1020980.1099016
2017-11-24,74.85,76.69,72.51,530301.77316071
2017-11-23,71.97,77.96,71.07,736519.67704704
2017-11-22,69.23,71.98,69.22,317128.39909673
2017-11-21,73.09,73.09,68.0,717482.37436895
2017-11-20,71.82,73.25,71.13,407966.50169899
2017-11-19,68.75,73.4,68.55,572714.3720435
2017-11-18,68.04,68.97,65.62,332611.91644323
2017-11-17,67.25,72.5,65.52,1114546.0105099
2017-11-16,63.3,68.82,62.52,577659.57132099
2017-11-15,62.38,65.43,62.1,397152.91036456
2017-11-14,60.93,63.57,60.51,349721.42988545
2017-11-13,61.03,63.99,57.08,688415.53550806
2017-11-12,61.03,63.99,57.08,688415.53550806
2017-11-11,60.21,63.99,58.86,488638.59197576
2017-11-10,64.68,65.94,56.13,846107.82334795
2017-11-09,62.24,67.24,61.79,641808.27817609
2017-11-08,61.06,64.3,59.6,866449.29195583
2017-11-07,54.95,63.71,54.6,738985.86032839
2017-11-06,54.8,55.85,53.37,220698.2293367
2017-11-05,54.88,55.53,54.25,159311.26945472
2017-11-04,56.19,56.3,54.62,167869.20873469
2017-11-03,53.28,56.36,53.19,331759.15464955
2017-11-02,56.03,56.12,54.32,194583.48602918
2017-11-01,56.03,56.12,54.32,194583.48602918
2017-10-31,56.01,56.81,55.4,178004.81825132
2017-10-30,56.92,58.39,56.0,194346.82635634
2017-10-29,54.45,58.0,54.26,198289.15610646
2017-10-28,55.47,57.16,54.75,149178.27087178
2017-10-27,55.47,57.16,54.75,149178.27087178
2017-10-26,55.45,57.16,54.75,179050.3020164
2017-10-25,56.15,56.22,53.55,276084.68693484
2017-10-24,54.5,59.19,52.5,542488.85812804
2017-10-23,56.42,56.97,52.45,442567.45214047
2017-10-22,58.42,58.89,56.12,203842.65754126
2017-10-21,60.34,60.55,56.2,329418.17281256
2017-10-20,59.91,62.2,58.52,345329.62835817
2017-10-19,60.74,61.42,58.34,409338.52329834
2017-10-18,59.13,61.85,52.9,837029.10153182
2017-10-17,64.08,65.44,58.52,435799.84242912
2017-10-16,66.3,66.83,62.33,393534.49965019
2017-10-15,64.78,69.59,62.06,793416.87243218
2017-10-14,58.46,66.85,58.3,720563.43939377
2017-10-13,56.64,60.96,55.25,948178.89681802
2017-10-12,50.74,59.2,50.66,836266.6934208
2017-10-11,49.87,51.48,49.61,166026.95215349
2017-10-10,50.05,51.48,49.51,207390.19587997
2017-10-09,53.25,53.44,48.15,460046.29809193
2017-10-08,52.48,54.79,52.4,225927.88193023
2017-10-07,51.99,52.49,51.6,110328.24406605
2017-10-06,51.93,52.73,51.4,149530.4751873
2017-10-05,51.57,51.94,50.25,173937.57648356
2017-10-04,52.02,53.0,50.5,210031.63502611
2017-10-03,53.01,53.59,51.35,239610.85062349
2017-10-02,54.86,55.08,52.58,254995.18361535
2017-10-01,55.36,55.36,53.5,198941.01305279
2017-09-30,52.9,55.92,52.39,269819.20941173
2017-09-29,54.91,54.98,50.35,559130.51431397
2017-09-28,56.64,57.36,54.07,500422.91856013
2017-09-27,52.5,57.45,52.32,573354.54876134
2017-09-26,52.33,54.41,51.5,364806.38453905
2017-09-25,47.84,53.52,47.52,501594.01014133
2017-09-24,49.07,49.58,47.06,246379.67646003
2017-09-23,47.71,50.33,46.45,337714.31357116
2017-09-22,46.77,49.72,45.0,700232.27844088
2017-09-21,52.7,52.75,45.18,858682.89439288
2017-09-20,53.26,54.6,51.11,338423.3853586
2017-09-19,56.25,56.86,51.38,629809.18347713
2017-09-18,52.1,58.0,51.32,886952.63649788
2017-09-17,52.61,54.1,47.87,589768.76914187
2017-09-16,53.29,59.0,50.35,941139.36769321
2017-09-15,47.41,62.41,33.56,3225231.920866
2017-09-14,62.6,62.88,46.28,1596522.9679535
2017-09-13,67.17,67.17,57.74,1143145.8386123
2017-09-12,68.36,71.93,65.02,579349.81005851
2017-09-11,68.3,71.55,65.5,443992.47448532
2017-09-10,72.11,72.66,65.02,571227.98831421
2017-09-09,73.0,74.93,69.1,481568.03109602
2017-09-08,80.94,82.25,68.12,1053320.3840703
2017-09-07,81.68,82.75,77.37,598084.71075598
2017-09-06,74.0,82.7,73.7,967968.38142664
2017-09-05,72.77,74.7,66.0,788644.3113501
2017-09-04,79.62,80.15,64.0,1254676.3507294
2017-09-03,77.31,84.91,77.05,642209.73621575
2017-09-02,85.82,93.85,73.87,1436431.4744227
2017-09-01,74.12,98.28,71.43,2008656.7776784
2017-08-31,63.86,74.8,63.74,1046942.5309184
2017-08-30,63.86,63.99,62.0,349408.56215362
2017-08-29,62.51,64.45,61.25,452141.56871003
2017-08-28,61.51,64.73,58.76,591739.18931991
2017-08-27,51.72,64.67,51.05,800991.55195777
2017-08-26,51.25,52.0,50.0,172371.48520936
2017-08-25,50.9,52.2,50.1,269608.32492238
2017-08-24,51.52,53.46,50.23,420783.77458333
2017-08-23,46.55,55.0,46.08,563994.39357846
2017-08-22,48.75,48.87,44.65,267118.04247616
2017-08-21,46.81,48.69,44.9,218014.21855219
2017-08-20,45.21,47.15,44.07,144008.78507305
2017-08-19,44.74,47.0,43.76,182896.48595766
2017-08-18,44.02,47.99,43.29,342923.18050709
2017-08-17,44.05,44.7,43.13,165260.24725992
2017-08-16,43.51,44.94,42.01,202916.79843472
2017-08-15,45.49,45.88,41.65,306484.65361148
2017-08-14,45.27,46.34,44.82,192027.89824155
2017-08-13,46.13,47.38,44.05,277664.87099626
2017-08-12,47.39,47.8,46.02,247689.30099722
